"PovertyLevel","CalorieIntake1993-94","CalorieIntake2004-05","CalorieDeficit1993-94","CalorieDeficit2004-05","ProteinIntake1993-94","ProteinIntake2004-05","ProteinDeficit1993-94","ProteinDeficit2004-05"
"Below poverty Line ","1737 ","1639 ","663 ","762 ","48 ","44 ","12 ","16 "
"Above Poverty Line ","2388 ","2202 ","12 ","198 ","67 ","59 ","+7 ","1 "
